4|ระบบการบริหารด้านฮาลาล| |4.1|มีคู่มือคุณภาพ(QM) ครอบคลุมการผลิตอาหารฮาลาล|0||||||||||
4|ระบบการบริหารด้านฮาลาล| |4.2|มีคู่มือการปฎิบัติงานครอบคลุมการผลิตอาหารฮาลาล|0||||||||||
4|ระบบการบริหารด้านฮาลาล| |4.3|มีการควบคุมเอกสารและการบันทึกการปฎิบัติในการผลิตอาหารฮาลาล|3|ไม่มีการใช้งาน|ไม่มีระบบการเก็บ|ไม่มีระบบการทำลาย|||||||
4|ระบบการบริหารด้านฮาลาล| |4.4|มีนโยบายในการผลิตอาหารฮาลาลเป็นลายลักษณ์อักษร/ประกาศรับทราบทั่วกัน|3|นโยบาย|วัตถุประสงค์|ประกาศ|||||||
4|ระบบการบริหารด้านฮาลาล|ตัวแทนฝ่ายบริหารด้านฮาลาล|4.5.1|มีการแต่งตั้ง HMR ที่เหมาะสม|5|ไม่มีคำสั่งแต่งตั้ง|ไม่มีหน้าที่รับผิดชอบชัดเจน|ไม่เป็นตัวแทนผู้บริหาร|ไม่มีความรู้เรื่องฮาลาลเพียงพอ|ไม่ปฏิบัติหน้าที่|||||
4|ระบบการบริหารด้านฮาลาล|ตัวแทนฝ่ายบริหารด้านฮาลาล|4.5.2|มีการทบทวนฝ่ายการบริหารครอบคลุมการผลิตอาหารฮาลาล|2|ไม่พบหลักฐานการทบทวน|ไม่ครอบคลุมการผลิตอาหารฮาลาล||||||||
4|ระบบการบริหารด้านฮาลาล| |4.6|มีระบบการสื่อสารเกี่ยวกับการผลิตอาหารฮาลาลในองค์กร เช่นการประชุม ประกาศ การทบทวนฝ่ายบริหาร|0||||||||||
5|การบริหารทรัพยากร| |5.1|มีการจัดสรรทรัพยากรในการผลิตอาหารฮาลาลอย่างเหมาะสม และเพียงพอ|3|บุคลากรไม่เพียงพอ|สิ่งอำนวยความสะดวกไม่พร้อม|เงินทุนไม่เพียงพอ|||||||
5|การบริหารทรัพยากร|ทรัพยากรบุคคล / ความสามารถ ความตระหนัก การฝึกอบรม|5.2.1.1|บุคลากรขององค์กรมีความสามารถ / ความตระหนัก / การฝึกอบรมในการผลิตอาหารฮาลาล|3|ไม่มีความสามารถ (สัมภาษณ์, ฝึกอบรม)|ไม่มีความตระหนัก|ไม่ผ่านการฝึกอบรมเรื่องฮาลาล|||||||
5|การบริหารทรัพยากร|ทรัพยากรบุคคล / ความสามารถ ความตระหนัก การฝึกอบรม|5.2.1.2|มีแผนการอบรมประจำปีที่ครอบคลุมการผลิตอาหารฮาลาล|3|ไม่มีแผน|แผนไม่ครอบคลุม|เนื้อหาไม่ถูกต้อง|||||||
5|การบริหารทรัพยากร|ทรัพยากรบุคคล / ความสามารถ ความตระหนัก การฝึกอบรม|5.2.1.3|มีการฝึกอบรมพนักงานใหม่ครอบคลุมการผลิตอาหารฮาลาล|0||||||||||
5|การบริหารทรัพยากร|ทรัพยากรบุคคล / ทีมงาน HAL-Q / เจ้าหน้าที่เชือด|5.2.2.1|มีทีมงาน HAL-Q ที่มีคุณสมบัติเหมาะสม|3|ไม่มีทีมงาน HAL-Q|ไม่มีความรู้เรื่องข้อกำหนด HAL-Q|ทีมงานไม่ได้มาจากทุกส่วนงานที่เกี่ยวข้อง|||||||
5|การบริหารทรัพยากร|ทรัพยากรบุคคล / ทีมงาน HAL-Q / เจ้าหน้าที่เชือด|5.2.2.2|มีเจ้าหน้าที่เชือดที่มีคุณสมบัติเหมาะสม|3|ไม่ใช่มุสลิม|ไม่มีใบรับรองจากสัพบุรุษ|ไม่ผ่านการฝึกอบรมการเชือดที่ถูกต้องตามหลักศาสนาอิสลาม|||||||
5|การบริหารทรัพยากร|ทรัพยากรบุคคล / สุขลักษณะส่วนบุคคล|5.2.3.1|มีเอกสารและบันทึกการควบคุม ดูแลสุขลักษณะส่วนบุคคลที่มีประสิทธิภาพ|3|เอกสารไม่สมบูรณ์|บันทึกไม่สมบูรณ์|ปฏิบัติงานไม่ตรงกับเอกสาร|||||||
5|การบริหารทรัพยากร|ทรัพยากรบุคคล / สุขลักษณะส่วนบุคคล|5.2.3.2|มีการประเมินประสิทธิภาพการควบคุมสุขลักษณะส่วนบุคคล|2|ไม่มีการประเมิน|ไม่สมบูรณ์||||||||
5|การบริหารทรัพยากร|ทรัพยากรบุคคล / สุขลักษณะส่วนบุคคล|5.2.3.3|มีการประเมินและจัดการกับสุขภาพพนักงานที่เหมาะสม|2|ไม่มีการตรวจสุขภาพ|ไม่มีขั้นตอนการจัดการกับพนักงานที่เจ็บป่วย||||||||
5|การบริหารทรัพยากร|ทรัพยากรบุคคล / สุขลักษณะส่วนบุคคล|5.2.3.4|มีการควบคุมสุขลักษณะส่วนบุคคลและสุขภาพของผู้เยี่ยมชมการผลิตอาหารฮาลาลที่เหมาะสม|3|ไม่มีบันทึกการขออนุญาตเข้าเยี่ยม|ไม่มีการชี้แจงกฎการเข้าเยี่ยม|ไม่มีการเปลี่ยนชุดป้องกันการปนเปื้อน|||||||
